"OTU","S1_1","S2_1","S3_1","S4_1","Taxonomic lineage"
"Bilophila wadsworthia","56","1","39","0","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;Bilophila wadsworthia"
"Oscilibacter massiliensis","54","24","25","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;Oscilibacter massiliensis"
"Robinsoniella peoriensis","54","81","41","20","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;Robinsoniella peoriensis"
"unkn. Burkholderiales(o)","54","680","324","1420","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unkn. Burkholderiales(o);unkn. Burkholderiales(o);unkn. Burkholderiales(o)"
"unkn. Pseudobutyrivibrio(g)","53","7","23","10","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;unkn. Pseudobutyrivibrio(g)"
"Intestinimonas sp. FSAA-17","52","32","30","7","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Intestinimonas;Intestinimonas sp. FSAA-17"
"Clostridium sp. Culture Jar-13","49","61","44","23","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Culture Jar-13"
"Sutterella massiliensis","49","28","57","42","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella massiliensis"
"Bifidobacterium pseudolongum","48","141","228","240","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudolongum"
"Desulfovibrio sp. UNSW3caefatS","48","427","65","88","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio sp. UNSW3caefatS"
"Marvinbryantia formatexigens","48","298","63","14","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens"
"Eisenbergiella massiliensis","47","7","7","3","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;Eisenbergiella massiliensis"
"unkn. Atopobium(g)","47","2","13","1","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;unkn. Atopobium(g)"
"Parabacteroides distasonis","46","20","79","22","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Parabacteroides distasonis"
"Ruminococcus sp. ID1","46","35","75","10","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. ID1"
"unkn. Dorea(g)","46","35","63","14","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;unkn. Dorea(g)"
"Bacteroides coprocola","45","26","834","28","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides coprocola"
"Blautia obeum","45","32","65","61","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia obeum"
"Clostridium carnis","45","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium carnis"
"Clostridium sp. Culture Jar-19","45","82","51","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Culture Jar-19"
"unkn. Coriobacteriia(c)","45","13","20","18","Bacteria;Actinobacteria;Coriobacteriia;unkn. Coriobacteriia(c);unkn. Coriobacteriia(c);unkn. Coriobacteriia(c);unkn. Coriobacteriia(c)"
"unkn. Negativibacillus(g)","45","77","19","17","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Negativibacillus;unkn. Negativibacillus(g)"
"Butyricicoccus pullicaecorum","43","1","2","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum"
"Megamonas funiformis","42","14","56","24","Bacteria;Firmicutes;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis"
"unkn. Propionibacterium(g)","42","34","27","58","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;unkn. Propionibacterium(g)"
"Alistipes putredinis","41","0","0","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes putredinis"
"unkn. Beduini(g)","41","1","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Beduini;unkn. Beduini(g)"
"[Clostridium] lavalense","40","35","55","65","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] lavalense"
"Clostridium sp. Culture Jar-17","40","19","27","9","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Culture Jar-17"
"unkn. Anaeroplasma(g)","40","57","46","10","Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma;unkn. Anaeroplasma(g)"
"[Clostridium] aerotolerans","39","7","4","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] aerotolerans"
"Eubacterium coprostanoligenes","39","4","8","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium coprostanoligenes"
"Intestinimonas timonensis","39","8","12","11","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Intestinimonas;Intestinimonas timonensis"
"unkn. Rikenella(g)","39","36","27","30","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;unkn. Rikenella(g)"
"[Ruminococcus] torques","38","15","132","99","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] torques"
"Alistipes finegoldii","38","75","43","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes finegoldii"
"Enterorhabdus caecimuris","38","22","16","11","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Enterorhabdus;Enterorhabdus caecimuris"
"unkn. Bacillales(o)","38","23","57","35","Bacteria;Firmicutes;Bacilli;Bacillales;unkn. Bacillales(o);unkn. Bacillales(o);unkn. Bacillales(o)"
"Clostridium sp. Clone-27","37","149","36","72","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Clone-27"
"Klebsiella pneumoniae","37","0","0","0","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae"
"Propionibacterium sp. S342","37","2","21","0","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium;Propionibacterium sp. S342"
"unkn. Lachnoanaerobaculum(g)","37","41","21","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoanaerobaculum;unkn. Lachnoanaerobaculum(g)"
"unkn. Propionibacteriaceae(f)","37","55","32","94","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;unkn. Propionibacteriaceae(f);unkn. Propionibacteriaceae(f)"
"Odoribacter splanchnicus","36","25","17","7","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter splanchnicus"
"unkn. Sphingobacteriales(o)","36","47","36","36","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;unkn. Sphingobacteriales(o);unkn. Sphingobacteriales(o);unkn. Sphingobacteriales(o)"
"unkn. Enterobacteriaceae(f)","35","180","68","203","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unkn. Enterobacteriaceae(f);unkn. Enterobacteriaceae(f)"
"unkn. Christensenellaceae(f)","34","28","40","9","Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unkn. Christensenellaceae(f);unkn. Christensenellaceae(f)"
"Acetatifactor muris","33","115","53","15","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;Acetatifactor muris"
"Massilimaliae massiliensis","33","30","27","10","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Massilimaliae;Massilimaliae massiliensis"
"Negativibacillus massiliensis","33","20","16","13","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Negativibacillus;Negativibacillus massiliensis"
"unkn. Lachnospira(g)","33","33","20","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospira;unkn. Lachnospira(g)"
"[Clostridium] viride","32","68","54","26","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium;[Clostridium] viride"
"Clostridium sp. 14505","32","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. 14505"
"Eubacterium ventriosum","32","18","128","9","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium ventriosum"
"unkn. Gemmiger(g)","32","5","1","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger;unkn. Gemmiger(g)"
"unkn. Paraeggerthella(g)","32","17","4","4","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Paraeggerthella;unkn. Paraeggerthella(g)"
"Clostridium sp. Culture Jar-56","31","55","55","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Culture Jar-56"
"unkn. Mobilitalea(g)","31","17","15","8","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Mobilitalea;unkn. Mobilitalea(g)"
"Eubacterium xylanophilum","30","91","100","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium xylanophilum"
"unkn. Bifidobacterium(g)","30","42","380","442","Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;unkn. Bifidobacterium(g)"
"Desulfovibrio piger","29","61","45","14","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio piger"
"unkn. Ihubacter(g)","29","17","14","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XIII. Incertae Sedis;Ihubacter;unkn. Ihubacter(g)"
"Atopobium sp. F0209","28","0","6","0","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;Atopobium sp. F0209"
"Clostridium sp. Clone-17","28","81","115","20","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Clone-17"
"Flintibacter butyricus","28","31","30","3","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Flintibacter;Flintibacter butyricus"
"unkn. Robinsoniella(g)","28","43","27","15","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;unkn. Robinsoniella(g)"
"Butyricicoccus desmolans","27","31","61","22","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;Butyricicoccus desmolans"
"Clostridium sp. HGFM71","27","0","0","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. HGFM71"
"Helicobacter aurati","27","41","21","22","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter aurati"
"Ihubacter massiliensis","27","15","17","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XIII. Incertae Sedis;Ihubacter;Ihubacter massiliensis"
"Oscillibacter valericigenes","27","29","37","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;Oscillibacter valericigenes"
"unkn. Allobaculum(g)","27","1221","538","1148","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Allobaculum;unkn. Allobaculum(g)"
"unkn. Brachyspiraceae(f)","27","209","144","18","Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;Brachyspiraceae;unkn. Brachyspiraceae(f);unkn. Brachyspiraceae(f)"
"unkn. Christensenella(g)","27","15","11","10","Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenella;unkn. Christensenella(g)"
"unkn. Deferribacterales(o)","27","85","58","3","Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;unkn. Deferribacterales(o);unkn. Deferribacterales(o);unkn. Deferribacterales(o)"
"unkn. Erysipelotrichales(o)","27","317","620","879","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;unkn. Erysipelotrichales(o);unkn. Erysipelotrichales(o);unkn. Erysipelotrichales(o)"
"unkn. Phocea(g)","27","34","37","3","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Phocea;unkn. Phocea(g)"
"unkn. Rhizobiales(o)","27","7","32","22","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unkn. Rhizobiales(o);unkn. Rhizobiales(o);unkn. Rhizobiales(o)"
"[Clostridium] neopropionicum","26","44","18","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella;[Clostridium] neopropionicum"
"unkn. Catabacteriaceae(f)","26","46","43","17","Bacteria;Firmicutes;Clostridia;Clostridiales;Catabacteriaceae;unkn. Catabacteriaceae(f);unkn. Catabacteriaceae(f)"
"unkn. Dialister(g)","26","6","16","9","Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Dialister;unkn. Dialister(g)"
"unkn. Helicobacteraceae(f)","26","52","87","21","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;unkn. Helicobacteraceae(f);unkn. Helicobacteraceae(f)"
"Blautia producta","25","14","7","0","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia producta"
"Clostridium sp. Culture-23","24","63","35","3","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. Culture-23"
"Helicobacter fennelliae","24","2","114","1","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter fennelliae"
"unkn. Eggerthella(g)","24","40","9","22","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Eggerthella;unkn. Eggerthella(g)"
"unkn. Enterorhabdus(g)","24","6","5","3","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Enterorhabdus;unkn. Enterorhabdus(g)"
"unkn. Staphylococcus(g)","24","70","51","36","Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;unkn. Staphylococcus(g)"
"Bacteroides uniformis","23","0","0","0","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis"
"Desulfovibrio sp. LNB2","23","143","61","10","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio sp. LNB2"
"Eubacterium ruminantium","23","13","24","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium ruminantium"
"Gemmiger formicilis","23","1","5","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger;Gemmiger formicilis"
"unkn. Anaerobiospirillum(g)","23","10","37","16","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Anaerobiospirillum;unkn. Anaerobiospirillum(g)"
"Blautia sp. canine oral taxon 337","22","11","7","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia sp. canine oral taxon 337"
"Clostridium sp. 37hoe","22","91","13","1","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. 37hoe"
"Coprococcus catus","22","38","45","10","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;Coprococcus catus"
"Ruminococcus gauvreauii","22","11","10","8","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus gauvreauii"
"unkn. Candidatus Saccharibacteria(p)","21","176","88","73","Bacteria;Candidatus Saccharibacteria;unkn. Candidatus Saccharibacteria(p);unkn. Candidatus Saccharibacteria(p);unkn. Candidatus Saccharibacteria(p);unkn. Candidatus Saccharibacteria(p);unkn. Candidatus Saccharibacteria(p)"
"unkn. Caproiciproducens(g)","21","11","21","8","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Caproiciproducens;unkn. Caproiciproducens(g)"
"unkn. Herbinix(g)","21","68","83","12","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Herbinix;unkn. Herbinix(g)"
"unkn. Enterococcus(g)","20","61","2","124","Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;unkn. Enterococcus(g)"
"unkn. Faecalibaculum(g)","20","162","100","621","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalibaculum;unkn. Faecalibaculum(g)"
"unkn. Intestinibacter(g)","20","0","1","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Intestinibacter;unkn. Intestinibacter(g)"
"unkn. Mailhella(g)","20","263","106","9","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Mailhella;unkn. Mailhella(g)"
"Enterorhabdus mucosicola","19","11","10","3","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;Enterorhabdus;Enterorhabdus mucosicola"
"Pseudoflavonifractor phocaeensis","19","18","9","1","Bacteria;Firmicutes;Clostridia;Clostridiales;unkn. Clostridiales(o);Pseudoflavonifractor;Pseudoflavonifractor phocaeensis"
"unkn. Brachyspirales(o)","19","71","69","8","Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;unkn. Brachyspirales(o);unkn. Brachyspirales(o);unkn. Brachyspirales(o)"
"unkn. Candidatus Vestibaculum(g)","19","5","1","11","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Candidatus Vestibaculum;unkn. Candidatus Vestibaculum(g)"
"Bacteroides sp. S-18","18","4","5","3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. S-18"
"Mobilitalea sibirica","18","10","6","2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Mobilitalea;Mobilitalea sibirica"
"unkn. Murimonas(g)","18","27","66","8","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;unkn. Murimonas(g)"
"Lachnoclostridium phocaeense","17","2","4","68","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium phocaeense"
"unkn. Bacillus(g)","17","9","2936","17","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;unkn. Bacillus(g)"
"unkn. Betaproteobacteria(c)","17","121","68","273","Bacteria;Proteobacteria;Betaproteobacteria;unkn. Betaproteobacteria(c);unkn. Betaproteobacteria(c);unkn. Betaproteobacteria(c);unkn. Betaproteobacteria(c)"
"unkn. Negativicutes(c)","17","43","38","6","Bacteria;Firmicutes;Negativicutes;unkn. Negativicutes(c);unkn. Negativicutes(c);unkn. Negativicutes(c);unkn. Negativicutes(c)"
"unkn. Succinivibrio(g)","17","10","16","8","Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinivibrio;unkn. Succinivibrio(g)"
"[Clostridium] asparagiforme","16","9","13","4","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] asparagiforme"
"Bacteroides ovatus","16","516","19","28","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus"
"unkn. Eggerthellales(o)","16","15","19","12","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;unkn. Eggerthellales(o);unkn. Eggerthellales(o);unkn. Eggerthellales(o)"
"unkn. Marseillibacter(g)","16","13","11","3","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Marseillibacter;unkn. Marseillibacter(g)"
"unkn. Peptococcaceae(f)","16","65","22","7","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;unkn. Peptococcaceae(f);unkn. Peptococcaceae(f)"
"Clostridium sp. BSY12","15","80","37","5","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. BSY12"
"Lactobacillus gallinarum","15","33","5","1","Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus gallinarum"
"unkn. Bilophila(g)","15","3","4","0","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila;unkn. Bilophila(g)"
"unkn. Butyricimonas(g)","15","7","12","5","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas;unkn. Butyricimonas(g)"
"unkn. Enterobacterales(o)","15","35","30","87","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;unkn. Enterobacterales(o);unkn. Enterobacterales(o);unkn. Enterobacterales(o)"
"unkn. Spirochaetales(o)","15","11","11","19","Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;unkn. Spirochaetales(o);unkn. Spirochaetales(o);unkn. Spirochaetales(o)"
"unkn. Syntrophococcus(g)","15","12","31","6","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Syntrophococcus;unkn. Syntrophococcus(g)"
"Bacteroides oleiciplenus","14","13","7","19","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides oleiciplenus"
